"","config_id","replicate","layer","x","y","patch","landscape_config"
"1...1","1","1","0",0.5,99.5,NA,0.01
"2...2","1","1","0",1.5,99.5,NA,0.01
"3...3","1","1","0",2.5,99.5,NA,0.01
"4...4","1","1","0",3.5,99.5,NA,0.01
"5...5","1","1","0",4.5,99.5,NA,0.01
"6...6","1","1","0",5.5,99.5,NA,0.01
"7...7","1","1","0",6.5,99.5,NA,0.01
"8...8","1","1","0",7.5,99.5,NA,0.01
"9...9","1","1","0",8.5,99.5,NA,0.01
"10...10","1","1","0",9.5,99.5,NA,0.01
"11...11","1","1","0",10.5,99.5,NA,0.01
"12...12","1","1","0",11.5,99.5,NA,0.01
"13...13","1","1","0",12.5,99.5,NA,0.01
"14...14","1","1","0",13.5,99.5,NA,0.01
"15...15","1","1","1",14.5,99.5,1,0.01
"16...16","1","1","0",15.5,99.5,NA,0.01
"17...17","1","1","0",16.5,99.5,NA,0.01
"18...18","1","1","0",17.5,99.5,NA,0.01
"19...19","1","1","1",18.5,99.5,2,0.01
"20...20","1","1","1",19.5,99.5,2,0.01
"21...21","1","1","0",20.5,99.5,NA,0.01
"22...22","1","1","0",21.5,99.5,NA,0.01
"23...23","1","1","0",22.5,99.5,NA,0.01
"24...24","1","1","0",23.5,99.5,NA,0.01
"25...25","1","1","1",24.5,99.5,3,0.01
"26...26","1","1","0",25.5,99.5,NA,0.01
"27...27","1","1","1",26.5,99.5,4,0.01
"28...28","1","1","0",27.5,99.5,NA,0.01
"29...29","1","1","0",28.5,99.5,NA,0.01
"30...30","1","1","0",29.5,99.5,NA,0.01
"31...31","1","1","0",30.5,99.5,NA,0.01
"32...32","1","1","0",31.5,99.5,NA,0.01
"33...33","1","1","0",32.5,99.5,NA,0.01
"34...34","1","1","1",33.5,99.5,5,0.01
"35...35","1","1","0",34.5,99.5,NA,0.01
"36...36","1","1","0",35.5,99.5,NA,0.01
"37...37","1","1","0",36.5,99.5,NA,0.01
"38...38","1","1","0",37.5,99.5,NA,0.01
"39...39","1","1","0",38.5,99.5,NA,0.01
"40...40","1","1","0",39.5,99.5,NA,0.01
"41...41","1","1","1",40.5,99.5,6,0.01
