"","p","replicate","edge_density","mean_distance","mean_nearest_distance","num_patches","mean_patch_area"
"1",0.01,1,4834,50.3744123304513,1.10568724133153,703,2.12660028449502
"2",0.01,2,4758,51.111970553203,1.10535051484277,678,2.13126843657817
"3",0.01,3,4556,50.1706734559194,1.11884272500398,694,2.05619596541787
"4",0.01,4,4690,51.1179617878299,1.1292463229097,700,2.08142857142857
"5",0.01,5,4842,50.6321992733135,1.10208478763593,732,2.02732240437158
"6",0.01,6,4759,50.7129279139143,1.13556805333027,675,2.2637037037037
"7",0.01,7,4930,50.8192147321162,1.10677857416358,688,2.28343023255814
"8",0.01,8,4908,51.0686228689888,1.10078394857377,719,2.10709318497914
"9",0.01,9,4864,51.0347522920361,1.11241800397831,696,2.14942528735632
"10",0.01,10,4761,50.0217878073067,1.12793030088793,689,2.20174165457184
"11",0.01,11,4717,50.3060960699566,1.1309994606085,680,2.17352941176471
"12",0.01,12,4705,50.1613450932275,1.12423976044173,676,2.25443786982249
"13",0.01,13,4823,51.1466592456011,1.12203409671423,740,1.99594594594595
"14",0.01,14,4868,50.5477699006186,1.13050546546733,665,2.33533834586466
"15",0.01,15,4924,50.4555884791028,1.10358952836264,704,2.23295454545455
"16",0.01,16,4714,50.954920162528,1.11881924974132,694,2.08933717579251
"17",0.01,17,4871,51.1006083054469,1.11105855612522,695,2.21151079136691
"18",0.01,18,4816,50.7005069590041,1.11417663807672,693,2.22799422799423
"19",0.01,19,5041,50.0305101827944,1.09665567624293,703,2.2176386913229
"20",0.01,20,4542,50.3500840465103,1.14379943615526,671,2.11624441132638
"21",0.01,21,4892,50.2418652179915,1.1198541854085,695,2.21726618705036
"22",0.01,22,4704,50.9172190627494,1.13003364274782,706,2.05807365439094
"23",0.01,23,4883,51.4483464687829,1.10516995806567,678,2.32300884955752
"24",0.01,24,4872,50.7351614456472,1.10567874075051,749,1.99599465954606
"25",0.01,25,4778,50.8488181639963,1.12841419054034,705,2.15177304964539
"26",0.01,26,4626,49.7785971904149,1.11470861395914,700,2.00857142857143
"27",0.01,27,4841,50.4424681859626,1.08927762977371,713,2.13604488078541
"28",0.01,28,5017,49.532667125576,1.11052471922672,705,2.2113475177305
"29",0.01,29,4718,50.7104868713849,1.12678177909438,708,2.09887005649718
"30",0.01,30,4952,50.1079486095432,1.09799810842647,701,2.20684736091298
"31",0.01,31,4773,50.8277996837068,1.09907401308678,696,2.09770114942529
"32",0.01,32,4637,50.338574228319,1.11597243010723,673,2.16641901931649
"33",0.01,33,4705,50.2965909179589,1.13959749473927,667,2.2263868065967
"34",0.01,34,4832,50.8155415360778,1.08601761465973,719,2.08762169680111
"35",0.01,35,5017,50.4183804118402,1.11028559130823,706,2.24787535410765
"36",0.01,36,4601,50.2302839720573,1.11728219055179,684,2.07017543859649
"37",0.01,37,4869,50.6093493669543,1.11311104718673,684,2.26754385964912
"38",0.01,38,4471,50.9681372514518,1.14954199957364,658,2.15653495440729
"39",0.01,39,4646,51.2392967204019,1.12155670527661,703,2.07112375533428
"40",0.01,40,4712,50.6806799696815,1.1199232392265,667,2.24887556221889
"41",0.01,41,4660,50.6532018051583,1.12169783054548,700,2.06
"42",0.01,42,4662,50.5750706005897,1.12091082204446,699,2.08869814020029
"43",0.01,43,4681,51.4829839533899,1.13713547116145,678,2.16371681415929
"44",0.01,44,4758,50.4850583864246,1.13742270805278,676,2.24260355029586
"45",0.01,45,4757,50.603078389395,1.1162275794608,710,2.08450704225352
"46",0.01,46,4940,50.2315486145683,1.11488836168669,710,2.16760563380282
"47",0.01,47,4596,50.7714150613545,1.14293326540288,656,2.23475609756098
"48",0.01,48,4627,51.0944323517304,1.12536023808789,722,1.96260387811634
"49",0.01,49,4860,51.27906303393,1.10731409272642,708,2.12853107344633
"50",0.01,50,4851,51.5799172795507,1.12292767187053,694,2.22478386167147
"51",0.01,51,4717,50.8630858238208,1.1404242029044,653,2.26033690658499
"52",0.01,52,4852,50.1715260167519,1.10907921234762,679,2.29896907216495
"53",0.01,53,4835,50.7980229512464,1.11396422680319,699,2.1244635193133
