"","ai","p","replicate","edge_density","mean_distance","mean_nearest_distance","num_patches","mean_patch_area"
"1",0.01,0.2,1,148.4375,38.4854047960212,11.2812866913744,13,3.84615384615385
"2",0.01,0.2,2,146.875,40.6105675288959,7.7562017811206,16,2.25
"3",0.01,0.2,3,220.3125,45.0309775566984,12.08763269536,17,4.47058823529412
"4",0.01,0.2,4,264.0625,39.7463254533211,10.2708723545768,19,6.10526315789474
"5",0.01,0.2,5,229.6875,42.2007146062675,8.64513662144615,18,4.05555555555556
"6",0.1,0.2,1,1900,39.673833515031,2.10207731359769,125,5.272
"7",0.1,0.2,2,1778.125,40.0828046540744,2.02412690026911,123,5.36585365853659
"8",0.1,0.2,3,1617.1875,40.1429582727336,2.44235843358719,115,4.70434782608696
"9",0.1,0.2,4,1876.5625,38.1935445502159,2.05846586360289,115,6.11304347826087
"10",0.1,0.2,5,1865.625,40.7051204136955,2.34503965703818,112,6.73214285714286
"11",0.2,0.2,1,3153.125,39.0506225281002,1.46671318300164,165,7.46060606060606
"12",0.2,0.2,2,3179.6875,39.3916802821534,1.52370371712346,149,8.85906040268456
"13",0.2,0.2,3,2973.4375,40.3556848250571,1.5083745484255,153,7.6797385620915
"14",0.2,0.2,4,2954.6875,40.0167211920415,1.55175718042497,155,7.52903225806452
"15",0.2,0.2,5,2948.4375,39.126321123246,1.53861625389358,148,8.32432432432432
"16",0.4,0.2,1,4840.625,38.9261056916497,1.21288330495067,73,36.2739726027397
"17",0.4,0.2,2,4629.6875,38.2221282311897,1.10713901927516,94,27.5106382978723
"18",0.4,0.2,3,4553.125,40.6915267671838,1.15864281907227,95,27.8105263157895
"19",0.4,0.2,4,4681.25,39.3114613238811,1.1920632272749,80,31.525
"20",0.4,0.2,5,4654.6875,43.6739533335319,1.21554144592012,91,27.2637362637363
