"movement","habitat_cover","metapop_cap","alpha","mean_dispersal"
"result_final_linear_10",3.43,1377.39521697312,0.0912035812776246,10.9644817231024
"result_final_linear_10",17.58,22244.3573042759,0.0927067398542248,10.7867022567338
"result_final_linear_10",8.41,5715.8258339089,0.0916743403931617,10.9081777486625
"result_final_linear_10",17.46,28984.4532206912,0.0926915820680981,10.7884661982069
"result_final_linear_10",24.75,79248.407143889,0.0937110834371108,10.671096345515
"result_final_linear_10",19,33446.9876455078,0.0928899082568807,10.7654320987654
"result_final_linear_10",29.99,239187.521558243,0.0945927687402043,10.5716326239109
"result_final_linear_10",8,3433.13711993606,0.0916334661354582,10.9130434782609
"result_final_linear_10",11.72,15263.2174265389,0.0920196797865244,10.867240598097
"result_final_linear_10",25.55,75595.670325372,0.0938366523821528,10.6568166554735
"result_final_linear_10",44.85,2170263.60892062,0.0981666073335707,10.1867633726201
"result_final_linear_10",10.62,14089.1008122368,0.091901784979847,10.8811814723652
"result_final_linear_10",13.34,17934.1441361627,0.0921993361137118,10.8460650819294
"result_final_linear_10",10.32,10526.5001125895,0.0918701852155384,10.8849241748439
"result_final_linear_10",6.06,2705.41054544546,0.0914453702982634,10.9354907387694
"result_final_linear_10",0.69,55.4278738954609,0.090966548199172,10.9930520592085
"result_final_linear_10",28.45,92553.2562982067,0.0943184814131294,10.6023759608665
"result_final_linear_10",17.79,15978.8206798263,0.0927333844696115,10.7836029680088
"result_final_linear_10",36.24,335131.116516792,0.0958624007697859,10.4316185696361
"result_final_linear_10",11.11,19307.4967054066,0.0919539040840816,10.8750140623242
"result_final_linear_10",44.83,1046073.73316201,0.0981602732901573,10.1874206996556
"result_final_linear_10",21.97,38690.8409484999,0.0932971447701947,10.718441625016
"result_final_linear_10",7.72,3980.81653711379,0.0916057814485387,10.9163415691374
"result_final_linear_10",32.57,143808.750616816,0.0950843251170399,10.5169805724455
"result_final_linear_10",10.69,7188.01961731732,0.0919091919482979,10.8803045571604
"result_final_linear_10",27.67,112730.175088341,0.0941845929475493,10.6174478086548
"result_final_linear_10",23.09,64325.7778466508,0.0934598745929131,10.6997789624236
"result_final_linear_10",27.06,151498.506593653,0.094082138066247,10.6290101453249
"result_final_linear_10",19.35,30713.6000093327,0.0929361604056234,10.7600743955363
"result_final_linear_10",0.96,298.841657157961,0.090989269439953,10.9903069466882
"result_final_linear_10",30.4,115806.770325087,0.0946681175190424,10.5632183908046
"result_final_linear_10",24.87,77355.4985175977,0.093729727032287,10.6689737787834
"result_final_linear_10",13.44,13214.9503362474,0.0922106698483041,10.8447319778189
"result_final_linear_10",3.65,2426.3814634619,0.0912232531717478,10.9621172807473
"result_final_linear_10",13.85,16790.7407080123,0.0922574427072178,10.8392338943703
"result_final_linear_10",9.04,6428.83682891424,0.091737937711796,10.9006156552331
"result_final_linear_10",20.02,60952.5581603766,0.0930259607332279,10.7496874218555
"result_final_linear_10",1.67,690.313162480376,0.091049668506241,10.9830163734364
"result_final_linear_10",26.27,90018.0265312532,0.0939522911463377,10.643699986437
"result_final_linear_10",2.61,644.573690031602,0.091131115020399,10.9732005339357
"result_final_linear_10",38.82,639624.036481847,0.0964740759429797,10.365478914678
"result_final_linear_10",30.44,146129.984299361,0.0946755226480836,10.5623921794135
"result_final_linear_10",4.35,2618.50179931012,0.0912865050582172,10.9545216936749
"result_final_linear_10",11.34,13881.6429901685,0.0919785874346419,10.8720956462892
"result_final_linear_10",29.31,110053.071287535,0.0944699844977816,10.5853727542792
"result_final_linear_10",32.83,236075.110341698,0.0951362529035182,10.5112401369659
"result_final_linear_10",35.71,339998.745403556,0.0957437302674689,10.444548141235
"result_final_linear_10",33.98,257931.216161517,0.0953715474401941,10.485307482581
"result_final_linear_10",17.63,32103.7535509033,0.0927130701004007,10.7859657642346
"result_final_linear_10",15.89,21805.201589126,0.0924976905819734,10.8110807276186
"result_final_linear_10",24.69,47161.8154219918,0.0937017866918828,10.6721550922852
"result_final_linear_10",26.53,80775.0296495191,0.0939946778568139,10.638900231387
"result_final_linear_10",11.97,9262.60091374154,0.0920469279350872,10.8640236283085
