"movement","habitat_cover","metapop_cap","alpha","mean_distance","edge_density","num_patches","mean_patch_size","mean_dispersal"
"result_final_linear_10",4.34,70.6652228968489,0.912855943201771,25.3900572556952,2886,307,1.41368078175896,1.09546309847376
"result_final_linear_10",16.91,144.550105948096,0.926227315289606,25.5501184954682,10688,695,2.43309352517986,1.0796485738356
"result_final_linear_10",10.22,64.379682497971,0.918597036915773,25.3778703089636,6980,614,1.66449511400651,1.08861661840053
"result_final_linear_10",21.05,639.251666177939,0.931673353788058,25.6072340638329,12596,675,3.11851851851852,1.07333755541482
"result_final_linear_10",26.71,1423.89929556128,0.940242212757223,25.448933701363,14286,586,4.5580204778157,1.06355573748124
"result_final_linear_10",19.9,330.593638104371,0.930097538318625,25.3039121540756,11766,691,2.87988422575977,1.07515605493134
"result_final_linear_10",28.91,2762.51117165208,0.943990014341106,24.8945852990121,15428,541,5.34380776340111,1.05933323955549
"result_final_linear_10",7.57,18.5854639334775,0.915910262000079,25.5210287618936,5290,526,1.43916349809886,1.0918100183923
"result_final_linear_10",13.32,278.849735879855,0.921970728386658,25.5337206183779,8592,649,2.05238828967643,1.0846331333641
"result_final_linear_10",24.86,1152.7855372225,0.937281708412334,25.0755391121673,13954,590,4.2135593220339,1.06691509182859
"result_final_linear_10",41.44,601251.263113054,0.971595434032387,26.1561578513125,18106,177,23.4124293785311,1.0292349726776
"result_final_linear_10",11.63,109.477184809605,0.9200991212361,25.0196278039676,7670,634,1.83438485804416,1.08683942514428
"result_final_linear_10",12.51,150.3831635135,0.921063713311155,25.6054944362893,7884,635,1.97007874015748,1.08570122299691
"result_final_linear_10",10.05,66.1883803291766,0.91841944047376,25.3226634243538,6752,604,1.66390728476821,1.08882712618121
"result_final_linear_10",6.54,28.2220611941071,0.914911112851437,25.2583104533282,4414,429,1.52447552447552,1.09300235394821
"result_final_linear_10",0.96,12.8684083396526,0.90989269439953,24.4037832848603,708,83,1.1566265060241,1.09903069466882
"result_final_linear_10",34.14,33094.6985027055,0.954050295515123,25.4315975593877,16544,350,9.75428571428571,1.04816276951108
"result_final_linear_10",19.63,315.059844526334,0.929734857248623,25.1867472123249,11504,674,2.91246290801187,1.0755754634814
"result_final_linear_10",38.89,304066.473195883,0.964915050843176,24.0204661271278,17814,222,17.518018018018,1.03636066110293
"result_final_linear_10",8.76,32.0369137949037,0.917095529109038,25.3665750719357,6166,584,1.5,1.0903989478299
"result_final_linear_10",45.25,504145.120659802,0.98294434470377,26.1491416752233,18352,121,37.396694214876,1.01735159817352
"result_final_linear_10",23.7,550.981571009266,0.935507601765571,25.307051708733,13376,637,3.72056514913658,1.06893840104849
"result_final_linear_10",11.33,70.6881236272123,0.919775113065848,25.3147655531184,7598,641,1.76755070202808,1.08722228487651
"result_final_linear_10",34.56,73680.3133181083,0.954938127480738,25.5830348310078,16928,355,9.73521126760563,1.04718826405868
"result_final_linear_10",12.62,51.2373656961752,0.921185797419246,25.4792194228608,8466,677,1.86410635155096,1.08555733577478
"result_final_linear_10",26.48,4540.10230172341,0.939865003068112,25.142665346955,14384,599,4.42070116861436,1.06398258977149
"result_final_linear_10",22.08,1351.27595960873,0.933128951906495,25.0144289278101,12724,660,3.34545454545455,1.07166324435318
"result_final_linear_10",28.88,5271.51699653622,0.943937141643661,25.5297461843625,15554,495,5.83434343434343,1.05939257592801
"result_final_linear_10",20.69,305.85715277585,0.931174564410839,25.1905221813573,12202,703,2.94310099573257,1.07391249527172
"result_final_linear_10",1.23,3.20318670617603,0.910121263499318,24.9796181225148,960,113,1.08849557522124,1.09875468259593
"result_final_linear_10",28.7,3324.43828111072,0.943620963472737,24.6503023805255,15404,484,5.9297520661157,1.05974754558205
"result_final_linear_10",26.89,4279.90215162845,0.940539288838574,25.6292362066568,14418,568,4.73415492957746,1.06321980577212
"result_final_linear_10",13.25,219.12224155402,0.921891604675877,25.2247101140586,8752,671,1.97466467958271,1.08472622478386
"result_final_linear_10",3.94,54.1886105891223,0.912493350558553,25.6264120209315,2744,298,1.32214765100671,1.09589839683531
"result_final_linear_10",14.31,95.3462072406776,0.923105097599862,25.3539284324832,9168,708,2.02118644067797,1.08330026840938
"result_final_linear_10",9.8,45.0280365762792,0.918159609120521,25.3800740618827,6552,590,1.66101694915254,1.08913525498891
"result_final_linear_10",19.23,210.895492954186,0.929202521743132,25.1058606100353,11664,724,2.6560773480663,1.07619165531757
"result_final_linear_10",1.55,5.76163057374978,0.910393933789532,26.2504395172533,1022,114,1.35964912280702,1.09842559674962
"result_final_linear_10",29.87,3240.30105304899,0.94570904579535,25.0103902156866,15790,488,6.12090163934426,1.05740767146728
"result_final_linear_10",2.28,7.73333926437849,0.911023269689738,24.9969456893599,1662,193,1.18134715025907,1.09766680311093
"result_final_linear_10",38.84,575064.354024341,0.964790509843513,24.8207880893115,17734,203,19.1330049261084,1.03649444081099
"result_final_linear_10",30.78,8683.71173544301,0.947388590824483,25.1451936980322,16006,475,6.48,1.05553308292401
"result_final_linear_10",6.1,16.560702548732,0.914491624464355,25.2902023343416,4244,437,1.39588100686499,1.09350372736954
"result_final_linear_10",13.49,90.5654949115203,0.922163475887946,25.244344314659,8688,689,1.95791001451379,1.08440642700266
"result_final_linear_10",33.86,24666.4384890371,0.953465574904855,24.6295394039599,16752,351,9.64672364672365,1.04880556395525
"result_final_linear_10",37.41,120322.321674202,0.961325797137065,24.8988465179283,17362,266,14.0639097744361,1.04023006870107
"result_final_linear_10",35.37,66231.7167341418,0.956687784948783,25.3712495029945,17120,302,11.7119205298013,1.04527309299087
"result_final_linear_10",34.28,26293.0025354174,0.954344795539034,25.0757809485461,16772,369,9.289972899729,1.04783931832015
"result_final_linear_10",17.79,191.766076740692,0.927333844696115,25.2472929454612,11172,718,2.47771587743733,1.07836029680088
"result_final_linear_10",12.29,95.547294572136,0.920820560198211,25.313475142033,8128,667,1.84257871064468,1.08598791471896
"result_final_linear_10",27.12,1954.282684389,0.940921297252634,25.3885077207448,14886,586,4.62798634812287,1.06278814489572
"result_final_linear_10",26.76,2909.03831354866,0.94032456861134,25.5287924087452,14666,550,4.86545454545455,1.06346258874932
"result_final_linear_10",15.74,128.98126493596,0.924795855650189,25.0260528205167,10158,729,2.15912208504801,1.08131972466176
"result_final_linear_10",32.12,9659.43840528561,0.949955217196596,25.2402496825049,16366,408,7.87254901960784,1.05268120212139
"result_final_linear_10",11.31,50.4935755832768,0.919753598539843,25.3516310599507,7266,634,1.78391167192429,1.08724771676626
"result_final_linear_10",36.66,251144.56751472,0.959580656890074,24.5745453410315,17116,279,13.1397849462366,1.04212188190717
"result_final_linear_10",26.67,2914.97483979256,0.940176419303554,24.2551212204926,14568,566,4.71201413427562,1.0636301650075
"result_final_linear_10",40.6,1008038.79173306,0.969321148825065,27.0099611855493,17958,185,21.9459459459459,1.03164983164983
"result_final_linear_10",8.22,43.3181080108855,0.91655348725733,24.9491083783227,5548,514,1.59922178988327,1.09104380039224
"result_final_linear_10",29.49,2797.50404229047,0.945022248431888,24.8309291440091,15768,506,5.82806324110672,1.05817614522763
"result_final_linear_10",3.17,5.87481721360968,0.911804587743418,25.8585159161213,2382,275,1.15272727272727,1.09672622121243
"result_final_linear_10",5.08,16.8755224050235,0.913535571296581,24.7121764791378,3528,366,1.3879781420765,1.09464812473662
"result_final_linear_10",26.69,1992.12239546881,0.940209305904684,25.1925139073845,14444,549,4.8615664845173,1.06359296139681
"result_final_linear_10",14.89,103.064923169659,0.923783267485781,25.2021464462227,9554,720,2.06805555555556,1.08250499353778
"result_final_linear_10",25.22,1203.66861128971,0.937844888130832,24.8073671495702,14034,628,4.01592356687898,1.0662744049211
"result_final_linear_10",33.91,15694.2673707128,0.953569573498009,25.3985725805314,16542,356,9.5252808988764,1.04869117869572
"result_final_linear_10",42.4,949925.014235974,0.974289580514208,26.2418938142422,18180,129,32.8682170542636,1.02638888888889
"result_final_linear_10",9.59,45.6746384710717,0.917942574016164,24.9729994938747,6502,608,1.57730263157895,1.08939276628691
"result_final_linear_10",2.17,9.11070693213122,0.910927781295393,25.3460459456896,1540,186,1.16666666666667,1.09778186650312
"result_final_linear_10",34.53,24203.4233720908,0.954874278046788,24.3577035064018,16616,332,10.4006024096386,1.04725828623797
"result_final_linear_10",25.77,1497.57437057687,0.938717183469068,25.5533439521222,14238,579,4.45077720207254,1.06528357806817
"result_final_linear_10",16.07,181.091051767909,0.925195114423035,25.3419911006787,9894,703,2.28591749644381,1.08085309186227
"result_final_linear_10",22.98,684.409856184702,0.93443657187227,25.2294919895552,13308,647,3.55177743431221,1.07016359387172
"result_final_linear_10",5.89,23.8529609390637,0.914292931255586,24.6018757009375,3970,396,1.48737373737374,1.09374136648603
"result_final_linear_10",13.97,141.651529511322,0.922712257068085,25.3189147561653,9200,691,2.02170767004342,1.08376147855399
"result_final_linear_10",38.5,87388.21523909,0.963949843260188,25.1006413702367,17614,258,14.922480620155,1.03739837398374
"result_final_linear_10",3.76,10.1818190747667,0.912331260427726,25.0840496092884,2666,292,1.28767123287671,1.09609310058188
"result_final_linear_10",34.73,18663.7403450097,0.955301211872841,25.9174876828689,17026,343,10.1253644314869,1.04679025586027
"result_final_linear_10",1.9,4.27836077662197,0.910694392870405,24.6572666603303,1418,164,1.15853658536585,1.09806320081549
"result_final_linear_10",18.91,273.293743881641,0.928780867732625,24.9265536461238,11582,709,2.66713681241185,1.07668023184116
"result_final_linear_10",4.63,24.9539187839299,0.913120906897476,25.9096295241025,3124,338,1.3698224852071,1.09514522386495
"result_final_linear_10",10.85,110.972169168778,0.919261703444009,25.4103039257796,7088,621,1.74718196457327,1.08782950084128
"result_final_linear_10",33.8,16601.9204511354,0.953341013824885,24.9590542709882,16756,382,8.84816753926702,1.04894259818731
"result_final_linear_10",29.69,16404.0099695369,0.94538267089765,25.0563487326365,15470,512,5.798828125,1.05777272080785
"result_final_linear_10",39.59,418860.352923613,0.966683735518146,24.876348113726,18290,198,19.9949494949495,1.03446449263367
"result_final_linear_10",35.14,36673.1401367501,0.956185870975351,25.4518646484325,16782,332,10.5843373493976,1.04582176996608
"result_final_linear_10",33.16,17002.9433464913,0.952028258887876,24.9056308358184,16590,399,8.31077694235589,1.05038898862956
"result_final_linear_10",29.27,4775.69196541767,0.944628452374593,24.8501724300108,15122,540,5.42037037037037,1.05861727696875
"result_final_linear_10",22.7,580.662611331038,0.934026099565007,24.6653836155518,13082,651,3.48694316436252,1.07063389391979
"result_final_linear_10",17.31,605.067498543159,0.926727036356301,25.3776477512216,10764,725,2.38758620689655,1.07906639255049
"result_final_linear_10",10.14,57.515996613843,0.918513369858533,25.3867617485482,6794,598,1.69565217391304,1.08871578010238
"result_final_linear_10",1.87,2.76682935767211,0.910668547459074,26.7497275626555,1360,154,1.21428571428571,1.09809436461836
"result_final_linear_10",4,10.610781057493,0.91254752851711,25.9667467231271,2926,314,1.27388535031847,1.09583333333333
"result_final_linear_10",39.26,434162.545945027,0.965844040198448,26.179108566541,18000,220,17.8454545454545,1.03536384590056
"result_final_linear_10",12.73,82.4086143107112,0.921308221781175,25.3759478537245,8438,695,1.83165467625899,1.0854130858256
"result_final_linear_10",2.51,17.8061617741962,0.911223688637978,25.4594717236181,1838,211,1.18957345971564,1.09742537696174
"result_final_linear_10",29.1,3817.63500314476,0.944326052210975,24.7998924803462,15706,518,5.61776061776062,1.0589562764457
"result_final_linear_10",36.14,67610.9682869338,0.958398367150918,24.8684224580779,17386,284,12.7253521126761,1.0434074538052
"result_final_linear_10",7.73,27.736613241924,0.916067670068702,25.2474330795677,5400,514,1.50389105058366,1.0916224124851
"result_final_linear_10",38.16,303980.316682536,0.963119860453526,24.7662227094196,17486,243,15.7037037037037,1.03829236739974
"result_final_linear_10",1.21,0.941955872900396,0.910104285661643,25.9226882986406,956,118,1.02542372881356,1.09877517967406
"result_final_linear_10",39.65,663499.957533119,0.966837552066645,25.7178075907587,17854,195,20.3333333333333,1.03429991714996
"result_final_linear_10",17.97,267.10068373184,0.927563435704917,25.3158949165809,11260,720,2.49583333333333,1.07809338047056
"result_final_linear_10",37.16,110238.311908959,0.960738747553816,24.6222248651881,17306,284,13.0845070422535,1.0408656906429
"result_final_linear_10",13.07,85.7959864484004,0.921688790873235,25.2466891781791,8506,664,1.9683734939759,1.08496491429886
"result_final_linear_10",13.77,246.301917675198,0.922482776327614,25.351380985814,8716,707,1.94766619519095,1.08403107967065
"result_final_linear_10",38.08,375442.287984182,0.962926101020154,25.1343757913942,17714,257,14.8171206225681,1.03850129198966
"result_final_linear_10",10.61,131.33975728031,0.919007278858412,25.565842076612,7070,609,1.74220032840722,1.08813066338517
"result_final_linear_10",35.39,41554.2725353986,0.956731623526624,25.2351722676889,17024,341,10.3782991202346,1.04522519733787
"result_final_linear_10",29.11,2176.00829891279,0.944343794959237,25.4299940238398,15570,546,5.33150183150183,1.05893638030752
"result_final_linear_10",12.67,126.833404948429,0.921241402590827,25.3340092596632,8308,677,1.87149187592319,1.08549181266461
"result_final_linear_10",2.97,3.27211765067991,0.911627644781841,25.460207316603,2242,259,1.14671814671815,1.09693909100278
"result_final_linear_10",37.68,266241.855422856,0.961965917510496,25.2291106732047,17306,234,16.1025641025641,1.0395378690629
"result_final_linear_10",43.4,387617.935144027,0.977209944751381,25.031631017842,18332,130,33.3846153846154,1.02332155477032
"result_final_linear_10",21.33,520.656802264674,0.932064831050661,25.3711006394816,12328,651,3.27649769585253,1.0728867420872
"result_final_linear_10",2.9,8.21293780324712,0.911565903116786,25.6335927513255,2132,239,1.21338912133891,1.09701338825953
"result_final_linear_10",12.36,86.5174666312492,0.920897780766644,25.6061287353915,8076,639,1.93427230046948,1.08589685075308
"result_final_linear_10",37.08,277587.881697712,0.960552027357108,25.7693319454186,17642,263,14.0988593155894,1.0410680228862
"result_final_linear_10",25.82,906.917776245322,0.93879720562924,25.1587542579465,14226,572,4.51398601398601,1.0651927743327
"result_final_linear_10",25.38,1084.71854114496,0.938097153776526,25.6066188138991,13918,602,4.21594684385382,1.06598767086572
"result_final_linear_10",28.68,5418.17042059793,0.943585944115157,25.1328835445561,15416,508,5.64566929133858,1.0597868760516
"result_final_linear_10",19.87,224.880603078605,0.930057105715214,25.1590743878208,12210,723,2.74827109266943,1.07520279545738
"result_final_linear_10",3.72,7.66836180655287,0.912295330503335,25.2274699943316,2738,312,1.19230769230769,1.09613626921479
"result_final_linear_10",18.5,272.778823219372,0.928246013667426,25.5560024076665,11216,705,2.6241134751773,1.07730061349693
"result_final_linear_10",31.51,9901.64596304177,0.948772649193772,25.1525570467042,16218,428,7.36214953271028,1.05399328369105
"result_final_linear_10",27.13,2427.91188800558,0.940937968080161,24.8051070484485,14842,558,4.86200716845878,1.06276931521888
"result_final_linear_10",4.75,57.2032787900576,0.913231064237776,25.6635646412395,3254,355,1.33802816901408,1.09501312335958
"result_final_linear_10",35.5,76146.5170367225,0.956973293768546,25.8074419343201,17158,308,11.525974025974,1.04496124031008
"result_final_linear_10",26.68,1826.33223716038,0.940192860073861,25.233247459155,14800,579,4.60794473229706,1.06361156573923
"result_final_linear_10",9.02,31.4858707498963,0.917359038477051,25.2508258854637,6156,578,1.56055363321799,1.09008573312816
"result_final_linear_10",39.81,778282.910075134,0.9672494696921,26.333896231016,17748,195,20.4153846153846,1.03385944509055
"result_final_linear_10",8.52,36.8163507819917,0.916853752405388,25.2562385025488,5772,544,1.56617647058824,1.09068648885002
"result_final_linear_10",2.08,6.22261545494373,0.910849828843578,26.492266270171,1520,169,1.23076923076923,1.09787581699346
"result_final_linear_10",13.08,92.987653430724,0.921700033932813,24.8596157091965,8416,681,1.92070484581498,1.08495167970548
"result_final_linear_10",43.54,831154.335953119,0.977628480398947,24.7910339571853,18368,137,31.7810218978102,1.02288345731491
"result_final_linear_10",5.09,16.0590973011979,0.913544835020983,25.3466814644877,3730,397,1.28211586901763,1.09463702454957
"result_final_linear_10",13.03,66.6158819470273,0.921643847229876,25.6919995681167,8480,677,1.92466765140325,1.08501782223755
"result_final_linear_10",31.42,8721.68618076198,0.948600199181144,25.2458135189346,15822,440,7.14090909090909,1.05418489355497
"result_final_linear_10",5.7,19.2128141306547,0.914113997673517,25.4721335647327,3988,409,1.39364303178484,1.09395546129374
"result_final_linear_10",22.66,452.313003586413,0.933967732586224,25.3929323990682,13210,691,3.27930535455861,1.07070080165503
"result_final_linear_10",30.62,8102.21482784039,0.947089658184995,25.1052742937568,15832,476,6.4327731092437,1.05586624387432
"result_final_linear_10",6.71,48.6953669927834,0.915074351630243,25.1398718732836,4742,465,1.44301075268817,1.09280737485261
"result_final_linear_10",41.23,394096.246723254,0.971019760756064,26.000948989577,18338,158,26.0949367088608,1.02984515909478
"result_final_linear_10",30.54,4967.45257440132,0.946940778710874,25.1168576618342,15876,471,6.48407643312102,1.05603224877627
"result_final_linear_10",4.13,11.9800838114458,0.912665168881612,25.614134037227,3036,333,1.24024024024024,1.0956920830291
"result_final_linear_10",5.94,41.4431017188705,0.914340150867097,25.9652304697259,4162,420,1.41428571428571,1.09368488199022
"result_final_linear_10",22.21,964.363071804627,0.933315736430388,25.209349285645,13190,669,3.31988041853513,1.07144877233578
"result_final_linear_10",19.74,416.230683669726,0.929882287515062,24.8434878613583,11762,692,2.85260115606936,1.07540493396461
"result_final_linear_10",41.62,493537.117397143,0.972092713467431,25.8494425055673,18294,150,27.7466666666667,1.02870846180199
"result_final_linear_10",19.16,190.787172901722,0.929109966899595,25.2092112802911,11440,708,2.70621468926554,1.07629886194953
